number,wallet,ethereum-ETH,ethereum-USDT,ethereum-USDC,arbitrum-ETH,arbitrum-USDT,arbitrum-USDC,arbitrum-USDC,arbitrum-BTC.B,optimism-ETH,optimism-USDT,optimism-USDC,optimism-USDC,polygon-MATIC,polygon-USDT,polygon-USDC,polygon-USDC,polygon-BTC.B,avalanche-AVAX,avalanche-USDT,avalanche-USDC,avalanche-USDC.E,avalanche-BTC.B,bsc-BNB,bsc-USDT,bsc-USDC,bsc-BTC.B,zkera-ETH,nova-ETH,nova-USDC,nova-ARB,nova-DAI,nova-WBTC,base-ETH,base-USDBC,total no wallet usd
42,0x17C172Ef8eB6b7b166e6cDA289d5bCcC263fBB6e,0.0,0.0,0.0,0.0174,0.0,0.0,0.0,0.0,0.4117,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9096
43,0x1f4dfaD102B83e438718C382F0F98dA1293557c5,0.0,0.0,0.0,0.0162,0.0,0.0,0.0,0.0,0.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0115,0.0,0.0,0.0,0.0,2.1072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4617
44,0x04d1fb94ee3aBB55dd962EFADb4531B6022b0283,0.0,0.0,0.0,0.0172,0.0,0.0,0.0,0.0,0.4912,0.0,0.0,0.0,1.6218,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,2.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.318
45,0x11578C1CE9555A70a8DccE3B55E42f07b714CD5c,0.0,0.0,0.0,0.0174,0.0,0.0,0.0,0.0,1.4852,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.4529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9561
46,0x03E7467de97e3BF22291a6eD9FB9ad8D8455b5d9,0.0,0.0,0.0,0.0184,0.0,0.0,0.0,0.0,0.6484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.186,0.0,0.0,0.0,0.0,1.5925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4453
47,0x062E02AC9a33d38A661d10f3107d72a3B6E98096,0.0,0.0,0.0,0.0173,0.0,0.0,0.0,0.0,0.4681,0.0,0.0,0.0,1.5819,0.0,0.0,0.0,0.0,0.0004,0.0,0.6829,0.0,0.0,2.1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8949
48,0x007BdB94146691491B4C923fE4B31BE5Deb9aFCb,0.0,0.0,0.0,0.0183,0.0,0.0,0.0,0.0,0.4449,0.0,0.0,0.0,2.4564,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.3109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.231
49,0x22DcDcf0E814EfBbE248DcE60285e53c398A63DF,0.0,0.0,0.0,0.0168,0.0,0.0,0.0,0.0,0.1425,0.0,0.0,0.0,2.4279,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,1.9628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5505
50,0x1F202DFD3143b4A6DEcba7095777B5FC4b5449Bc,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.4031,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,1.8381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.258
51,0x1880741f6281A975bB31C6D8a509B379430C6bf7,0.0,0.0,0.0,0.0149,0.0,0.0,0.0,0.0,0.5943,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,2.3726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9823
52,0x091942f28a1Ea7bCfbe8F589f49297d7be0af0A6,0.0,0.0,0.0,0.0147,0.0,0.0,0.0,0.0,0.5871,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,2.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.122
53,0x26dD1d61c5875F07d22A53Da56f0beABDdB3ef15,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.2349,0.0,2.8769,2.8769,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,2.4048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4091
54,0x0F08E5240ECB7F84EA6B36967e7B0f1539FE2Bce,0.0,0.0,0.0,0.0151,0.0,0.0,0.0,0.0,0.2117,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,1.7394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9668
55,0x126F10BfBf10E35A015B4b8d25cB441857593234,0.0,0.0,0.0,0.0161,0.0,0.0,0.0,0.0,0.3126,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,1.9837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.313

coin,amount,usd
ETH,0.37703526890166833,756.1140689607837
USDT,33.76510419115385,33.731339086962706
USDC,416.10317899999995,415.97834804630025
BTC.B,0.00020759,7.716244853999999
MATIC,362.0637929828116,305.2921902431068
AVAX,15.988238187446495,354.45924061568905
USDC.E,0.0,0.0
BNB,0.5677839087020132,140.18584705852706
ARB,0.0,0.0
DAI,0.8785007370512409,0.8754259844715616
WBTC,0.0,0.0
USDBC,24.375454,24.368141363800003
